facility_id,facility_name,facility_type,facility_subtype,address,city,state,zip_code,district,area,region,latitude,longitude,report_date,report_year,report_month,max_throughput_daily,actual_throughput_daily,letters_processed,flats_processed,parcels_processed,total_pieces_processed,sorting_machines,sorting_machines_active,delivery_vehicles,delivery_vehicles_active,total_employees,carriers,clerks,supervisors,operating_hours,overtime_hours,operating_cost_daily,revenue_daily,square_footage,year_built,last_renovation_year,po_boxes,delivery_routes,load_time
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-15,2023,1,722500,152286,91371,38071,22842,152284,11,8,450,45,2500,875,625,200,18.2,4.5,6410.35,2454.91,850000,1965,2018,0,450,2023-01-15 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-18,2023,1,722500,573879,344327,143469,86081,573877,25,19,450,407,2500,875,625,200,16.2,104.7,20177.96,4773.77,850000,1965,2018,0,450,2023-01-18 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-21,2023,1,722500,117637,70582,29409,17645,117636,30,26,450,45,2500,875,625,200,20.4,4.4,4432.32,2083.72,850000,1965,2018,0,450,2023-01-21 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-24,2023,1,722500,341703,205021,85425,51255,341701,13,11,450,402,2500,875,625,200,17.2,289.3,10284.52,3113.92,850000,1965,2018,0,450,2023-01-24 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-27,2023,1,722500,365353,219211,91338,54802,365351,19,17,450,417,2500,875,625,200,22.5,232.4,13184.44,7189.19,850000,1965,2018,0,450,2023-01-27 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-01-30,2023,1,722500,439230,263538,109807,65884,439229,10,8,450,431,2500,875,625,200,20.9,265.4,16392.31,7227.47,850000,1965,2018,0,450,2023-01-30 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-02-02,2023,2,722500,352012,211207,88003,52801,352011,29,23,450,399,2500,875,625,200,16.6,108.2,8106.85,3990.30,850000,1965,2018,0,450,2023-02-02 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-02-05,2023,2,722500,151992,91195,37998,22798,151991,19,14,450,45,2500,875,625,200,18.8,13.4,6239.97,2462.66,850000,1965,2018,0,450,2023-02-05 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-02-08,2023,2,722500,358717,215230,89679,53807,358716,27,23,450,413,2500,875,625,200,18.0,165.6,10079.39,6853.18,850000,1965,2018,0,450,2023-02-08 08:00:00
FAC-NY-001,New York P&DC,PROCESSING_DISTRIBUTION_CENTER,P&DC,280 7th Ave,New York,NY,10001,NEW YORK,ATLANTIC,NORTHEAST,40.748817,-73.985428,2023-02-11,2023,2,722500,156119,93671,39029,23417,156117,25,19,450,45,2500,875,625,200,18.6,15.4,3384.37,2788.54,850000,1965,2018,0,450,2023-02-11 08:00:00
